name,quadrant,ring,isNew,description
Swagger / OAS,languages-and-frameworks,Core,FALSE,<p>HTML Description</p>
Express,languages-and-frameworks,Core,FALSE,<p>HTML Description</p>
React,languages-and-frameworks,Core,FALSE,<p>HTML Description</p>
Typescript,languages-and-frameworks,Core,FALSE,<p>HTML Description</p>
Unleash,languages-and-frameworks,Core,FALSE,<p>HTML Description</p>
SCSS with CSS modules,languages-and-frameworks,,FALSE,<p>HTML Description</p>
ESLint,languages-and-frameworks,,FALSE,<p>HTML Description</p>
React-GTM-Module,languages-and-frameworks,,FALSE,<p>HTML Description</p>
React-Hook-Form,languages-and-frameworks,,FALSE,<p>HTML Description</p>
React query,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Node.js,languages-and-frameworks,Core,FALSE,<p>HTML Description</p>
Next js,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Nest js,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Prettier,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Next-transpile-modules,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Typeorm,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Redux,languages-and-frameworks,Core,FALSE,<p>HTML Description</p>
React-router,languages-and-frameworks,Core,FALSE,<p>HTML Description</p>
Vite,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Jest,languages-and-frameworks,,FALSE,<p>HTML Description</p>
React-testing-library,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Dayjs,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Axios,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Dio,languages-and-frameworks,,FALSE,<p>HTML Description</p>
MSAL library,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Rive,languages-and-frameworks,,FALSE,<p>HTML Description</p>
JSON Serializer,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Flutter,languages-and-frameworks,Core,FALSE,<p>HTML Description</p>
Zettle,languages-and-frameworks,Trial,FALSE,<p>HTML Description</p>
Mobx,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Moor/Drift,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Provider,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Airship,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Mockito,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Dartx,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Cocoa pods,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Cypress,languages-and-frameworks,,FALSE,<p>HTML Description</p>
GQL,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Fastify,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Mikro ORM,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Storybook,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Date-fns,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Typed Router,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Material-UI,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Sequalize,languages-and-frameworks,,FALSE,<p>HTML Description</p>
Braintree,languages-and-frameworks,Adopt,FALSE,<p>HTML Description</p>
Datadog,infrastructure,Core,FALSE,<p>HTML Description</p>
Trello,infrastructure,,FALSE,<p>HTML Description</p>
Zenhub,infrastructure,,FALSE,<p>HTML Description</p>
Unleash,infrastructure,Core,FALSE,<p>HTML Description</p>
Spinnaker,infrastructure,Core,FALSE,<p>HTML Description</p>
Jenkins,infrastructure,Core,FALSE,<p>HTML Description</p>
k8s,infrastructure,,FALSE,<p>HTML Description</p>
Docker,infrastructure,Core,FALSE,<p>HTML Description</p>
GitHub Actions,infrastructure,,FALSE,<p>HTML Description</p>
Amplitude,infrastructure,,FALSE,<p>HTML Description</p>
Miro,infrastructure,Core,FALSE,<p>HTML Description</p>
"Github actions (doberman, Everest...etc)",infrastructure,,FALSE,<p>HTML Description</p>
Firebase,infrastructure,Core,FALSE,<p>HTML Description</p>
S3 Bucket,infrastructure,Adopt,FALSE,<p>HTML Description</p>
Dev broker,infrastructure,,FALSE,<p>HTML Description</p>
Haven core shared library,infrastructure,,FALSE,<p>HTML Description</p>
Lcov,infrastructure,,FALSE,<p>HTML Description</p>
Integration tests,infrastructure,,FALSE,<p>HTML Description</p>
Screen copy (scrcpy),infrastructure,,FALSE,<p>HTML Description</p>
Haven remote config library (will be killed soon),infrastructure,,FALSE,<p>HTML Description</p>
Intune (teams deployment),infrastructure,,FALSE,<p>HTML Description</p>
Gradle,infrastructure,,FALSE,<p>HTML Description</p>
MS Teams,infrastructure,Core,FALSE,<p>HTML Description</p>
Kubernetes,infrastructure,Core,FALSE,<p>HTML Description</p>
Postgres,infrastructure,Core,FALSE,<p>HTML Description</p>
Colima,infrastructure,,FALSE,<p>HTML Description</p>
Braintree,infrastructure,Adopt,FALSE,<p>HTML Description</p>
Zettle,infrastructure,Trial,FALSE,<p>HTML Description</p>
APM,infrastructure,Core,FALSE,<p>HTML Description</p>
Github Issues,infrastructure,,FALSE,<p>HTML Description</p>
Crons,infrastructure,Core,FALSE,<p>HTML Description</p>
GitHub Projects,infrastructure,Adopt,FALSE,<p>HTML Description</p>
DynamoDb,infrastructure,,FALSE,<p>HTML Description</p>
Husky,infrastructure,,FALSE,<p>HTML Description</p>
Graphana,infrastructure,,FALSE,<p>HTML Description</p>
SNS,infrastructure,Adopt,FALSE,<p>HTML Description</p>
SES,infrastructure,Adopt,FALSE,<p>HTML Description</p>
Kibana,infrastructure,,FALSE,<p>HTML Description</p>
Quicksight,infrastructure,,FALSE,<p>HTML Description</p>
Eng. meeting to discuss eng specific issues,process,,FALSE,<p>HTML Description</p>
Kanban,process,,FALSE,<p>HTML Description</p>
Sprints coming,process,,FALSE,<p>HTML Description</p>
Build solution and test as part of PR process,process,,FALSE,<p>HTML Description</p>
"Release Android first, ramp up then iOS if all good",process,,FALSE,<p>HTML Description</p>
Auto deployment to stores,process,,FALSE,<p>HTML Description</p>
SCRUM,process,,FALSE,<p>HTML Description</p>
Code coverage in pipelines,process,,FALSE,<p>HTML Description</p>
npm audit in pipelines,process,,FALSE,<p>HTML Description</p>
Pull requests & 2 Peer Review,process,,FALSE,<p>HTML Description</p>
Zonal Events API,other,,FALSE,<p>HTML Description</p>